name,quantity,unit,carbohydrates,protein,fat,calories
mcdonald's - chicken mcmuffin,0,burger,0,12,15,306
western family - 100% whole wheat bread,83,grams,0,9,3,211
compliments - maple & brown sugar flavour instant oatmeal,1,packet,0,4,2,160
salmon roll - salmon roll,1,条,0,10,16,441
quaker - oats,0,cup,0,9,5,255
quaker - everything rice cake,3,cake,0,2,5,150
boneless skinless chicken thighs - boneless skinless chicken thighs,0,kg(s),0,22,8,160
marinating steak - sirloin tip,0,kg(s),0,60,10,360
kirkland - top sirloin grilling steak cap removed,150,grams,0,34,10,224
asda prime beef ribeye steak - ribeye steak,0,Per,0,57,24,442
wendys - apple pecan salad - corrected,1,salad,0,39,23,460
wendy's - plain potato,0,grams,0,6,0,238
noble premium bison - lean ground bison,227,grams,0,45,32,466
salmon fillet raw - raw salmon fillet-f,150,grams,0,26,7,213
mustard,2,teaspoon,0,0,0,6
kirkland signature - whole strawberries,400,grams,0,3,0,143
popcorners - sweet & salty kettle corn popped-corn chip,50,grams,0,3,7,230
market basket - mixed berry blend - frozen,100,grams,0,1,0,57
dempsters - 12 grain  whole grain bread,1,slice,0,5,2,120
a&w - grandpa burger,0,grams,0,44,42,699
mcdonald's - double big mac (no sauce  no cheese),232,grams,0,34,27,540
mcdonalds - medium fries*,110,grams,0,5,17,350
nestle - maggi 70g,70,grams,0,6,13,310
compliments - swiss dark chocolate,0,squares,0,2,9,120
instant cream of wheat - cream of wheat,2,packet,0,6,0,200
tim hortons (canada) - cinnamon raisin bagel,1,bagel,0,9,1,290
mcdonald's hong kong - grilled chicken burger,0,burger,0,24,14,377
generic - sugar free strawberry jam,100,grams,0,0,0,59
beef chuck - steak raw,271,grams,0,68,43,604
mcdonald's medium fries - medium fries,1,cup,0,4,17,337
brunswick - spring water sardine,1,grams,0,17,5,110
keebler - zesta saltine cracker  original,4,crackers,0,1,1,48
beef  stewing steak  raw  lean,150,grams,0,34,5,183
new york strip steak raw - updated - new york strip steak,180,grams,0,40,30,430
wendy's - wendy's - large chilli (340g) 16 fl oz,1,large,0,22,15,340
super  lean ground beef - super  lean ground beef,0,oz,0,91,30,646
lesser evil - organic popcorn with butter-flavored coconut oil himalayan salt,0,cups,0,1,3,64
angie's - sea salt popcorn,24,grams,0,2,6,120
adams - peanut butter  creamy,12,grams,0,2,6,75
great value almond milk - almond milk,103,milliliter,0,0,1,13
